Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,AgeGroup,IncomeCategory,ExperienceCategory,PromotionRiskScore,OT_Score,AttritionRiskScore
34,No,Non-Travel,1381,Sales,4,4,Marketing,1,523,3,Female,72,3,2,Sales Executive,3,Married,6538,12740,8,Y,No,15,3,1,80,1,6,3,3,3,2,1,2,Mid,High Income,Intermediate,3,0,3.5295197308045276
31,No,Travel_Rarely,480,Research & Development,7,2,Medical,1,524,2,Female,33,3,2,Manufacturing Director,1,Married,4306,4156,1,Y,No,12,3,2,80,1,13,5,1,13,10,3,10,Mid,Medium Income,Experienced,5,0,5.822340919647004
43,No,Travel_Frequently,313,Research & Development,21,3,Medical,1,525,4,Male,61,3,1,Laboratory Technician,4,Married,2258,15238,7,Y,No,20,4,1,80,1,8,1,3,3,2,1,2,Senior,Low Income,Intermediate,2,0,14.928697962798937
43,No,Travel_Rarely,1425,Research & Development,8,4,Other,1,526,3,Female,74,3,2,Healthcare Representative,3,Divorced,4522,3376,4,Y,Yes,14,3,4,80,0,8,3,3,5,2,0,2,Senior,Medium Income,Intermediate,2,1,11.21141088014153
25,No,Travel_Rarely,891,Sales,4,2,Life Sciences,1,527,2,Female,97,2,2,Sales Executive,4,Single,4487,12090,1,Y,Yes,11,3,2,80,0,5,3,3,5,4,1,3,Young,Medium Income,Beginner,3,1,9.228660574994429
37,No,Non-Travel,1063,Research & Development,25,4,Medical,1,529,2,Female,72,3,2,Research Scientist,3,Married,4449,23866,3,Y,Yes,15,3,1,80,2,15,2,3,13,11,9,7,Senior,Medium Income,Experienced,11,1,19.747696111485727
31,No,Travel_Rarely,329,Research & Development,1,2,Life Sciences,1,530,4,Male,97,2,1,Laboratory Technician,1,Married,2218,16193,1,Y,No,12,3,3,80,1,4,3,3,4,2,3,2,Mid,Low Income,Beginner,4,0,5.008566275924256
39,No,Travel_Frequently,1218,Research & Development,1,1,Life Sciences,1,531,2,Male,52,3,4,Manager,3,Divorced,17856,8213,1,Y,Yes,14,3,3,80,1,21,3,3,20,8,1,6,Senior,High Income,Expert,5,1,6.060035842293907
54,No,Travel_Frequently,906,Sales,6,3,Life Sciences,1,532,3,Female,86,4,4,Sales Executive,1,Married,13212,18256,8,Y,No,11,3,4,80,3,28,1,2,7,7,7,7,Veteran,High Income,Expert,11,0,3.7568876778686042
30,No,Travel_Rarely,1082,Sales,12,3,Technical Degree,1,533,2,Female,83,3,2,Sales Executive,3,Single,6577,19558,0,Y,No,11,3,2,80,0,6,5,3,5,4,4,4,Mid,High Income,Intermediate,6,0,7.520450053215752
41,No,Travel_Rarely,645,Sales,1,3,Marketing,1,534,2,Male,49,4,3,Sales Executive,1,Married,8392,19566,1,Y,No,16,3,3,80,1,10,2,3,10,7,0,7,Senior,High Income,Intermediate,3,0,1.6916110581506196
28,No,Travel_Rarely,1300,Research & Development,17,2,Medical,1,536,3,Male,79,3,2,Laboratory Technician,1,Divorced,4558,13535,1,Y,No,12,3,4,80,1,10,2,3,10,0,1,8,Mid,Medium Income,Intermediate,3,0,10.693944712593243
25,Yes,Travel_Rarely,688,Research & Development,3,3,Medical,1,538,1,Male,91,3,1,Laboratory Technician,1,Married,4031,9396,5,Y,No,13,3,3,80,1,6,5,3,2,2,0,2,Young,Medium Income,Intermediate,1,0,3.9807740014884643
52,No,Travel_Rarely,319,Research & Development,3,3,Medical,1,543,4,Male,39,2,3,Manufacturing Director,3,Married,7969,19609,2,Y,Yes,14,3,3,80,0,28,4,3,5,4,0,4,Veteran,High Income,Expert,3,1,7.754862592546116
45,No,Travel_Rarely,192,Research & Development,10,2,Life Sciences,1,544,1,Male,69,3,1,Research Scientist,4,Married,2654,9655,3,Y,No,21,4,4,80,2,8,3,2,2,2,0,2,Senior,Low Income,Intermediate,1,0,8.767897513187641
52,No,Travel_Rarely,1425,Research & Development,4,2,Life Sciences,1,546,4,Female,33,3,4,Manager,4,Married,16555,10310,2,Y,No,13,3,4,80,0,28,2,1,5,2,1,4,Veteran,High Income,Expert,5,0,2.604047115675023
42,No,Travel_Frequently,532,Research & Development,26,2,Life Sciences,1,547,1,Female,92,3,2,Research Scientist,3,Divorced,4556,12932,2,Y,No,11,3,2,80,1,19,3,3,5,4,0,2,Senior,Medium Income,Experienced,2,0,15.194907813871817
30,No,Travel_Rarely,317,Research & Development,2,3,Life Sciences,1,548,3,Female,43,1,2,Manufacturing Director,4,Single,6091,24793,2,Y,No,20,4,3,80,0,11,2,3,5,4,0,2,Mid,Medium Income,Experienced,2,0,2.6417665407978985
54,No,Travel_Rarely,422,Research & Development,7,3,Life Sciences,1,549,1,Female,41,3,4,Manager,1,Married,17856,3854,5,Y,No,11,3,4,80,0,28,5,1,20,8,9,10,Veteran,High Income,Expert,13,0,4.060035842293907
46,No,Travel_Rarely,1425,Research & Development,18,3,Medical,1,550,3,Female,87,3,2,Manufacturing Director,3,Divorced,4810,25440,2,Y,No,14,3,3,80,1,19,5,2,10,7,0,8,Veteran,Medium Income,Experienced,2,0,11.079002079002079
42,No,Travel_Frequently,1368,Research & Development,26,4,Technical Degree,1,551,4,Female,88,2,2,Healthcare Representative,4,Married,4523,4386,0,Y,No,11,3,4,80,3,7,4,4,6,5,0,4,Senior,Medium Income,Intermediate,2,0,15.210921954455008
24,Yes,Travel_Rarely,1425,Sales,1,1,Technical Degree,1,554,1,Female,62,3,1,Sales Representative,2,Single,3202,21972,1,Y,Yes,16,3,2,80,0,6,4,3,5,3,1,4,Young,Low Income,Intermediate,2,1,8.623048094940662
34,Yes,Travel_Frequently,296,Sales,6,2,Marketing,1,555,4,Female,33,1,1,Sales Representative,3,Divorced,2351,12253,0,Y,No,16,3,4,80,1,3,3,2,2,2,1,0,Mid,Low Income,Beginner,2,0,7.253509145044662
38,No,Travel_Frequently,1425,Research & Development,2,2,Life Sciences,1,556,4,Male,42,3,1,Laboratory Technician,4,Married,2097,12106,1,Y,Yes,22,4,3,80,1,1,3,3,1,0,0,0,Senior,Low Income,Beginner,1,1,10.768717215069145
40,No,Travel_Rarely,1398,Sales,2,4,Life Sciences,1,558,3,Female,79,3,4,Manager,3,Married,17856,13022,0,Y,No,14,3,4,80,0,21,2,3,20,11,1,10,Senior,High Income,Expert,5,0,1.5600358422939067
26,No,Travel_Rarely,1349,Research & Development,23,3,Life Sciences,1,560,1,Female,90,3,1,Research Scientist,4,Divorced,2886,3376,1,Y,No,22,4,2,80,2,3,3,1,3,2,0,2,Mid,Low Income,Beginner,1,0,14.965003465003464
30,No,Non-Travel,1400,Research & Development,3,3,Life Sciences,1,562,3,Male,53,3,1,Laboratory Technician,4,Married,2097,16734,4,Y,No,15,3,3,80,1,9,3,1,5,3,1,4,Mid,Low Income,Intermediate,2,0,6.268717215069146
29,No,Travel_Rarely,986,Research & Development,3,4,Medical,1,564,2,Male,93,2,3,Research Director,3,Married,11935,21526,1,Y,No,18,3,3,80,0,10,2,3,10,2,0,7,Mid,High Income,Intermediate,3,0,2.337871805613741
29,Yes,Travel_Rarely,408,Research & Development,25,4,Technical Degree,1,565,3,Female,71,2,1,Research Scientist,2,Married,2546,18300,5,Y,No,16,3,2,80,0,6,2,4,2,2,1,1,Mid,Low Income,Intermediate,2,0,16.42772977219167
24,Yes,Travel_Rarely,489,Human Resources,2,2,Technical Degree,1,566,1,Male,52,2,1,Human Resources,4,Single,2564,18437,1,Y,No,12,3,3,80,0,1,3,4,1,0,0,0,Young,Low Income,Beginner,1,0,4.90015600624025
30,No,Non-Travel,1398,Sales,22,4,Other,1,567,3,Female,69,3,3,Sales Executive,1,Married,8412,3376,0,Y,No,11,3,3,80,0,10,3,3,9,8,7,8,Mid,High Income,Intermediate,10,0,12.188777936281502
54,No,Travel_Rarely,210,Sales,26,3,Marketing,1,568,1,Male,56,2,4,Manager,4,Divorced,14118,22102,3,Y,No,12,3,3,80,1,28,3,2,1,0,0,0,Veteran,High Income,Expert,4,0,13.708315625442697
50,No,Travel_Rarely,1099,Research & Development,26,4,Life Sciences,1,569,2,Male,88,2,4,Manager,3,Married,17046,9314,0,Y,No,15,3,2,80,1,28,2,3,20,10,9,7,Veteran,High Income,Expert,13,0,13.58664789393406
30,No,Non-Travel,1116,Research & Development,2,3,Medical,1,571,3,Female,49,3,1,Laboratory Technician,4,Single,2564,7181,0,Y,No,14,3,3,80,0,12,2,2,11,7,6,7,Mid,Low Income,Experienced,7,0,4.90015600624025
54,No,Travel_Frequently,1425,Sales,26,3,Marketing,1,573,3,Female,80,2,3,Sales Executive,1,Married,10266,3376,4,Y,No,19,3,4,80,0,22,5,4,18,11,9,10,Veteran,High Income,Expert,12,0,13.974089226573154
47,No,Travel_Rarely,983,Research & Development,2,2,Medical,1,574,1,Female,65,3,2,Manufacturing Director,4,Divorced,5070,7389,5,Y,No,13,3,3,80,3,20,2,3,5,0,0,4,Veteran,Medium Income,Experienced,2,0,2.9723865877712035
46,No,Travel_Rarely,1009,Research & Development,2,3,Life Sciences,1,575,1,Male,51,3,4,Research Director,3,Married,17856,3376,6,Y,No,13,3,3,80,0,26,2,1,3,2,0,1,Veteran,High Income,Expert,4,0,1.5600358422939067
35,No,Travel_Rarely,164,Research & Development,22,3,Life Sciences,1,577,4,Male,46,1,1,Laboratory Technician,3,Single,4230,19225,0,Y,No,15,3,3,80,0,6,2,3,5,4,4,3,Mid,Medium Income,Intermediate,5,0,13.364066193853429
54,No,Travel_Rarely,548,Research & Development,8,4,Life Sciences,1,578,3,Female,42,3,2,Laboratory Technician,3,Single,3780,23428,7,Y,No,11,3,3,80,0,19,3,3,1,0,0,0,Veteran,Medium Income,Experienced,2,0,6.645502645502646
34,No,Travel_Rarely,1303,Research & Development,2,4,Life Sciences,1,579,4,Male,62,2,1,Research Scientist,3,Divorced,2768,8416,3,Y,No,12,3,3,80,1,14,3,3,7,3,5,7,Mid,Low Income,Experienced,6,0,4.61271676300578
46,No,Travel_Rarely,1125,Sales,10,3,Marketing,1,580,3,Female,94,2,3,Sales Executive,4,Married,9071,11563,2,Y,Yes,19,3,3,80,1,15,3,3,3,2,1,2,Veteran,High Income,Experienced,4,1,11.102414287289163
31,No,Travel_Rarely,1274,Research & Development,9,1,Life Sciences,1,581,3,Male,33,3,3,Manufacturing Director,2,Divorced,10648,14394,1,Y,No,22,4,4,80,1,13,5,4,13,8,0,8,Mid,High Income,Experienced,3,0,5.439143501126972
33,Yes,Travel_Rarely,1277,Research & Development,15,1,Medical,1,582,2,Male,56,3,3,Manager,3,Married,13610,24619,7,Y,Yes,12,3,4,80,0,15,2,4,7,6,7,7,Mid,High Income,Experienced,10,1,13.234753857457752
33,Yes,Travel_Rarely,587,Research & Development,10,1,Medical,1,584,1,Male,38,1,1,Laboratory Technician,4,Divorced,3408,6705,7,Y,No,13,3,1,80,3,8,2,3,4,3,1,3,Mid,Low Income,Intermediate,2,0,7.934272300469484
30,No,Travel_Rarely,413,Sales,7,1,Marketing,1,585,4,Male,57,3,1,Sales Representative,2,Single,2983,18398,0,Y,No,14,3,1,80,0,4,3,3,3,2,1,2,Mid,Low Income,Beginner,2,0,6.852329869259135
35,No,Travel_Rarely,1276,Research & Development,16,3,Life Sciences,1,586,4,Male,72,3,3,Healthcare Representative,3,Married,7632,14295,4,Y,Yes,12,3,3,80,0,10,2,3,8,7,0,0,Mid,High Income,Intermediate,3,1,14.31027253668763
31,Yes,Travel_Frequently,534,Research & Development,20,3,Life Sciences,1,587,1,Male,66,3,3,Healthcare Representative,3,Married,9824,22908,3,Y,No,12,3,1,80,0,12,2,3,1,0,0,0,Mid,High Income,Experienced,3,0,11.017915309446254
34,Yes,Travel_Frequently,988,Human Resources,23,3,Human Resources,1,590,2,Female,43,3,3,Human Resources,1,Divorced,9950,11533,8,Y,Yes,15,3,3,80,3,11,2,3,3,2,0,2,Mid,High Income,Experienced,3,1,17.50502512562814
42,No,Travel_Frequently,1425,Research & Development,5,2,Other,1,591,2,Male,97,3,1,Laboratory Technician,3,Married,2097,9260,4,Y,No,17,3,4,80,1,8,4,3,2,2,2,0,Senior,Low Income,Intermediate,3,0,7.268717215069146
36,No,Non-Travel,635,Sales,10,4,Medical,1,592,2,Male,33,3,3,Sales Executive,4,Single,9980,15318,1,Y,No,14,3,4,80,0,10,3,2,10,3,9,7,Senior,High Income,Intermediate,12,0,6.002004008016032
24,Yes,Travel_Frequently,1368,Research & Development,4,1,Technical Degree,1,593,3,Male,97,2,1,Laboratory Technician,3,Single,3894,9129,5,Y,No,16,3,3,80,0,4,3,3,2,2,1,2,Young,Medium Income,Beginner,2,0,4.568053415511043
48,No,Travel_Rarely,164,Sales,2,4,Marketing,1,595,2,Female,37,3,2,Sales Executive,4,Married,4051,19658,2,Y,No,14,3,1,80,1,14,2,3,9,7,6,7,Veteran,Medium Income,Experienced,8,0,3.4685262898049865
54,No,Travel_Rarely,1117,Sales,18,4,Life Sciences,1,597,1,Female,83,3,4,Manager,2,Single,16835,9873,3,Y,No,22,4,4,80,0,28,2,3,10,9,7,7,Veteran,High Income,Expert,11,0,9.594000594000594
41,No,Non-Travel,267,Sales,10,2,Life Sciences,1,599,4,Male,56,3,2,Sales Executive,4,Single,6230,13430,7,Y,No,14,3,4,80,0,16,3,3,14,3,1,10,Senior,Medium Income,Experienced,3,0,6.60513643659711
35,No,Travel_Rarely,619,Sales,1,3,Marketing,1,600,2,Male,85,3,2,Sales Executive,3,Married,4717,18659,8,Y,No,11,3,3,80,0,15,2,3,11,9,6,9,Mid,Medium Income,Experienced,8,0,2.6199915200339197
40,No,Travel_Rarely,302,Research & Development,6,3,Life Sciences,1,601,2,Female,75,3,4,Manufacturing Director,3,Single,13237,20364,7,Y,No,15,3,3,80,0,22,3,3,20,6,5,10,Senior,High Income,Expert,9,0,3.755458185389439
39,No,Travel_Frequently,443,Research & Development,8,1,Life Sciences,1,602,3,Female,48,3,1,Laboratory Technician,3,Married,3755,17872,1,Y,No,11,3,1,80,1,8,3,3,8,3,0,7,Senior,Medium Income,Intermediate,1,0,6.663115845539281
31,No,Travel_Rarely,828,Sales,2,1,Life Sciences,1,604,2,Male,77,3,2,Sales Executive,4,Single,6582,8346,4,Y,Yes,13,3,3,80,0,10,2,4,6,5,0,5,Mid,High Income,Intermediate,2,1,7.519295047098146
42,No,Travel_Rarely,319,Research & Development,24,3,Medical,1,605,4,Male,56,3,3,Manufacturing Director,1,Married,7406,6950,1,Y,Yes,21,4,4,80,1,10,5,2,10,9,5,8,Senior,High Income,Intermediate,8,1,18.350256548744262
45,No,Travel_Rarely,561,Sales,2,3,Other,1,606,4,Male,61,3,2,Sales Executive,2,Married,4805,16177,0,Y,No,19,3,2,80,1,9,3,4,8,7,3,7,Senior,Medium Income,Intermediate,5,0,3.0811654526534857
26,Yes,Travel_Frequently,426,Human Resources,17,4,Life Sciences,1,608,2,Female,58,3,1,Human Resources,3,Divorced,2741,22808,0,Y,Yes,11,3,2,80,1,8,2,2,7,7,1,0,Mid,Low Income,Intermediate,2,1,17.14830353885443
29,No,Travel_Rarely,232,Research & Development,19,3,Technical Degree,1,611,4,Male,34,3,2,Manufacturing Director,4,Divorced,4262,22645,4,Y,No,12,3,2,80,2,8,2,4,3,2,1,2,Mid,Medium Income,Intermediate,3,0,11.846316283435007
33,No,Travel_Rarely,922,Research & Development,1,4,Medical,1,612,1,Female,95,4,4,Research Director,3,Divorced,16184,22578,4,Y,No,19,3,3,80,1,10,2,3,6,1,0,5,Mid,High Income,Intermediate,4,0,1.1178942165101335
31,No,Travel_Rarely,688,Sales,7,3,Life Sciences,1,613,3,Male,44,2,3,Manager,4,Divorced,11557,25291,8,Y,No,21,4,3,80,1,10,3,2,5,4,0,1,Mid,High Income,Intermediate,3,0,4.365276455827637
24,Yes,Travel_Frequently,1306,Sales,5,3,Marketing,1,614,2,Male,69,3,1,Sales Representative,2,Single,2097,8059,1,Y,Yes,14,3,4,80,0,1,3,3,1,0,0,0,Young,Low Income,Beginner,1,1,12.268717215069145
40,No,Non-Travel,1094,Sales,26,3,Other,1,615,3,Male,58,1,3,Sales Executive,1,Divorced,10932,11373,3,Y,No,15,3,3,80,1,20,2,3,1,0,0,1,Senior,High Income,Experienced,3,0,13.914745700695207
41,No,Non-Travel,509,Research & Development,2,4,Other,1,616,1,Female,62,2,2,Healthcare Representative,3,Single,6811,3376,2,Y,Yes,17,3,1,80,0,10,3,3,8,7,0,7,Senior,High Income,Intermediate,2,1,7.468213184554397
26,No,Travel_Rarely,775,Sales,26,2,Medical,1,618,1,Male,45,3,2,Sales Executive,3,Divorced,4306,4267,5,Y,No,12,3,1,80,2,8,5,3,1,0,0,0,Mid,Medium Income,Intermediate,2,0,15.322340919647004
35,No,Travel_Rarely,195,Sales,1,3,Medical,1,620,1,Female,80,3,2,Sales Executive,3,Single,4859,6698,1,Y,No,16,3,4,80,0,5,3,3,5,4,0,3,Mid,Medium Income,Beginner,2,0,2.5580366330520685
34,No,Travel_Rarely,258,Sales,21,4,Life Sciences,1,621,4,Male,74,4,2,Sales Executive,4,Single,5337,19921,1,Y,No,12,3,4,80,0,10,3,3,10,7,5,7,Mid,Medium Income,Intermediate,7,0,12.373711823121603
26,Yes,Travel_Rarely,471,Research & Development,24,3,Technical Degree,1,622,3,Male,66,1,1,Laboratory Technician,4,Single,2340,23213,1,Y,Yes,18,3,2,80,0,1,3,1,1,0,0,0,Mid,Low Income,Beginner,1,1,21.273504273504273
37,No,Travel_Rarely,799,Research & Development,1,3,Technical Degree,1,623,2,Female,59,3,3,Manufacturing Director,4,Single,7491,23848,4,Y,No,17,3,4,80,0,12,3,4,6,5,1,2,Senior,High Income,Experienced,4,0,1.8349352556401015
46,No,Travel_Frequently,1034,Research & Development,18,1,Medical,1,624,1,Female,86,3,3,Healthcare Representative,3,Married,10527,8984,5,Y,No,11,3,4,80,0,28,3,2,2,2,1,2,Veteran,High Income,Expert,4,0,9.949938254013489
41,No,Travel_Rarely,1276,Sales,2,4,Life Sciences,1,625,2,Female,91,3,4,Manager,1,Married,16595,5626,7,Y,No,16,3,2,80,1,22,2,3,18,11,9,8,Senior,High Income,Expert,13,0,1.602591141910214
37,No,Non-Travel,164,Sales,9,4,Medical,1,626,1,Male,69,3,3,Sales Executive,2,Divorced,8834,24666,1,Y,No,13,3,4,80,1,9,5,3,9,5,7,7,Senior,High Income,Intermediate,10,0,5.631990038487661
52,No,Travel_Rarely,956,Research & Development,6,2,Technical Degree,1,630,4,Male,78,3,2,Research Scientist,1,Divorced,5577,22087,3,Y,Yes,12,3,2,80,2,18,3,3,10,9,6,9,Veteran,Medium Income,Experienced,8,1,9.79307871615564
32,Yes,Non-Travel,1425,Sales,11,4,Other,1,631,4,Male,60,4,2,Sales Executive,3,Married,4707,23914,8,Y,No,12,3,4,80,0,6,2,3,4,2,1,2,Mid,Medium Income,Intermediate,3,0,7.62449543233482
24,No,Travel_Frequently,535,Sales,24,3,Medical,1,632,4,Male,38,3,1,Sales Representative,4,Married,2400,5530,0,Y,No,13,3,3,80,2,3,3,3,2,2,2,1,Young,Low Income,Beginner,3,0,16.166666666666668
38,No,Travel_Rarely,1425,Research & Development,10,3,Medical,1,634,3,Female,76,3,2,Healthcare Representative,3,Married,9824,22174,3,Y,No,19,3,3,80,1,18,4,3,1,0,0,0,Senior,High Income,Experienced,2,0,6.017915309446254
37,No,Travel_Rarely,446,Research & Development,1,4,Life Sciences,1,635,2,Female,65,3,2,Manufacturing Director,2,Married,6447,15701,6,Y,No,12,3,2,80,1,8,2,2,6,5,4,3,Senior,Medium Income,Intermediate,6,0,2.05110904296572
49,No,Travel_Rarely,1245,Research & Development,18,4,Life Sciences,1,638,4,Male,58,2,4,Research Director,3,Divorced,17856,3376,1,Y,Yes,17,3,3,80,1,28,5,3,20,9,0,9,Veteran,High Income,Expert,4,1,14.560035842293907
24,No,Travel_Rarely,691,Research & Development,23,3,Medical,1,639,2,Male,89,4,1,Research Scientist,4,Married,2725,21630,1,Y,Yes,11,3,2,80,2,6,3,3,6,5,1,4,Young,Low Income,Intermediate,2,1,20.1697247706422
26,No,Travel_Rarely,703,Sales,26,2,Marketing,1,641,1,Male,66,3,2,Sales Executive,2,Married,6272,7428,1,Y,No,20,4,4,80,2,6,5,4,5,3,1,4,Mid,Medium Income,Intermediate,3,0,14.59438775510204
24,No,Travel_Rarely,823,Research & Development,17,2,Other,1,643,4,Male,94,2,1,Laboratory Technician,2,Married,2127,9100,1,Y,No,21,4,4,80,1,1,2,3,1,0,0,0,Young,Low Income,Beginner,1,0,13.201457451810061
50,No,Travel_Frequently,1246,Human Resources,3,3,Medical,1,644,1,Male,97,3,4,Manager,2,Married,17856,7999,1,Y,No,11,3,3,80,1,28,2,3,20,5,9,7,Veteran,High Income,Expert,13,0,2.0600358422939067
25,No,Travel_Rarely,622,Sales,13,1,Medical,1,645,2,Male,40,3,1,Sales Representative,3,Married,2097,25440,1,Y,No,11,3,3,80,0,7,1,3,7,4,0,6,Young,Low Income,Intermediate,1,0,11.268717215069145
24,Yes,Travel_Frequently,1287,Research & Development,7,3,Life Sciences,1,647,1,Female,55,3,1,Laboratory Technician,3,Married,2886,14168,1,Y,Yes,16,3,4,80,1,6,4,3,6,3,1,2,Young,Low Income,Intermediate,2,1,11.965003465003464
30,Yes,Travel_Frequently,448,Sales,12,4,Life Sciences,1,648,2,Male,74,2,1,Sales Representative,1,Married,2097,14470,1,Y,No,18,3,3,80,1,1,2,4,1,0,0,0,Mid,Low Income,Beginner,1,0,10.768717215069145
34,No,Travel_Rarely,254,Research & Development,1,2,Life Sciences,1,649,2,Male,83,2,1,Research Scientist,4,Married,3622,22794,1,Y,Yes,13,3,4,80,1,6,3,3,6,5,1,3,Mid,Low Income,Intermediate,2,1,8.260905577029266
31,Yes,Travel_Rarely,1365,Sales,13,4,Medical,1,650,2,Male,46,3,2,Sales Executive,1,Divorced,4233,11512,2,Y,No,17,3,3,80,0,9,2,1,3,1,1,2,Mid,Medium Income,Intermediate,3,0,8.862390739428301
35,No,Travel_Rarely,538,Research & Development,25,2,Other,1,652,1,Male,54,2,2,Laboratory Technician,4,Single,3681,14004,4,Y,No,14,3,4,80,0,9,3,3,3,2,0,2,Mid,Medium Income,Intermediate,2,0,15.21665308340125
31,No,Travel_Rarely,525,Sales,6,4,Medical,1,653,1,Male,66,4,2,Sales Executive,4,Divorced,5460,6219,4,Y,No,22,4,4,80,2,13,4,4,7,7,5,7,Mid,Medium Income,Experienced,7,0,4.831501831501831
27,No,Travel_Rarely,798,Research & Development,6,4,Medical,1,655,1,Female,66,2,1,Research Scientist,3,Divorced,2187,5013,0,Y,No,12,3,3,80,2,6,5,2,5,3,0,3,Mid,Low Income,Intermediate,1,0,7.572473708276178
37,No,Travel_Rarely,558,Sales,2,3,Marketing,1,656,4,Male,75,3,2,Sales Executive,3,Married,9602,3376,4,Y,Yes,11,3,3,80,1,17,3,2,3,0,1,0,Senior,High Income,Experienced,3,1,7.041449697979587
24,No,Travel_Rarely,959,Research & Development,1,3,Life Sciences,1,657,4,Female,83,2,1,Research Scientist,2,Single,2836,11757,1,Y,No,13,3,4,80,0,1,1,4,1,0,0,0,Young,Low Income,Beginner,1,0,4.026093088857546
42,No,Travel_Rarely,622,Research & Development,2,4,Life Sciences,1,659,3,Female,81,3,2,Healthcare Representative,4,Married,4089,5718,1,Y,No,13,3,2,80,2,10,4,3,10,2,2,2,Senior,Medium Income,Intermediate,4,0,3.4455857177794083
43,No,Travel_Rarely,782,Research & Development,6,4,Other,1,661,2,Male,50,2,4,Research Director,4,Divorced,16627,3376,4,Y,Yes,14,3,3,80,1,21,3,2,1,0,0,0,Senior,High Income,Expert,4,1,8.60143140674806
38,No,Travel_Rarely,362,Research & Development,1,1,Life Sciences,1,662,3,Female,43,3,1,Research Scientist,1,Single,2619,14561,3,Y,No,17,3,4,80,0,8,3,2,1,0,0,0,Senior,Low Income,Intermediate,1,0,4.318251240931653
43,No,Travel_Frequently,1001,Research & Development,9,4,Medical,1,663,4,Male,72,3,2,Laboratory Technician,3,Divorced,5679,19627,3,Y,Yes,13,3,2,80,1,10,3,3,8,7,4,7,Senior,Medium Income,Intermediate,6,1,11.26087339320303
48,No,Travel_Rarely,1236,Research & Development,1,4,Life Sciences,1,664,4,Female,40,2,4,Manager,1,Married,15402,17997,7,Y,No,11,3,1,80,1,21,3,1,3,2,0,2,Veteran,High Income,Expert,4,0,1.1492663290481757
44,No,Travel_Rarely,1112,Human Resources,1,4,Life Sciences,1,665,1,Female,50,2,2,Human Resources,3,Single,5985,25440,4,Y,No,11,3,2,80,0,10,1,4,2,2,0,2,Senior,Medium Income,Intermediate,2,0,2.170843776106934
34,No,Travel_Rarely,204,Sales,14,3,Technical Degree,1,666,3,Female,33,3,1,Sales Representative,3,Divorced,2579,3376,1,Y,Yes,18,3,4,80,2,8,3,3,8,2,0,6,Mid,Low Income,Intermediate,1,1,15.87747188832881
27,Yes,Travel_Rarely,1420,Sales,2,1,Marketing,1,667,3,Male,85,3,1,Sales Representative,1,Divorced,3041,16346,0,Y,No,11,3,2,80,1,5,3,3,4,3,0,2,Mid,Low Income,Beginner,1,0,4.288391976323577
24,No,Travel_Rarely,1343,Sales,22,1,Technical Degree,1,669,3,Male,49,3,1,Sales Representative,3,Single,3447,24444,1,Y,No,11,3,3,80,0,3,2,3,3,2,1,2,Young,Low Income,Beginner,2,0,13.901073397156948
44,No,Travel_Rarely,1315,Research & Development,3,4,Other,1,671,4,Male,35,3,4,Manager,4,Married,17856,9358,4,Y,Yes,12,3,1,80,1,26,2,4,2,2,0,1,Senior,High Income,Expert,4,1,7.060035842293907
24,No,Travel_Rarely,604,Research & Development,6,1,Medical,1,675,1,Male,69,3,1,Research Scientist,3,Married,2773,12145,0,Y,No,20,4,4,80,0,3,3,3,2,2,2,2,Young,Low Income,Beginner,3,0,6.606202668589974
33,No,Travel_Rarely,1216,Sales,8,4,Marketing,1,677,3,Male,39,3,2,Sales Executive,3,Divorced,7104,20431,0,Y,No,12,3,4,80,0,6,3,3,5,0,1,2,Mid,High Income,Intermediate,3,0,5.407657657657658
32,No,Travel_Rarely,646,Research & Development,9,4,Life Sciences,1,679,1,Female,92,3,2,Research Scientist,4,Married,6322,18089,1,Y,Yes,12,3,4,80,1,6,2,2,6,4,0,5,Mid,Medium Income,Intermediate,2,1,11.08177791838026
30,No,Travel_Frequently,164,Research & Development,3,3,Medical,1,680,3,Female,71,3,1,Research Scientist,3,Divorced,2097,22653,1,Y,No,20,4,3,80,1,1,2,3,1,0,0,0,Mid,Low Income,Beginner,1,0,6.268717215069146
53,No,Travel_Rarely,238,Sales,1,1,Medical,1,682,4,Female,34,3,2,Sales Executive,1,Single,8381,7507,7,Y,No,20,4,4,80,0,18,2,4,14,7,8,10,Veteran,High Income,Experienced,10,0,1.6931750387781888
34,No,Travel_Rarely,1397,Research & Development,1,4,Life Sciences,1,683,2,Male,42,3,1,Research Scientist,4,Married,2691,7660,1,Y,No,12,3,4,80,1,10,4,2,10,9,8,8,Mid,Low Income,Intermediate,9,0,4.216090672612411
45,Yes,Travel_Frequently,306,Sales,26,4,Life Sciences,1,684,1,Female,97,3,2,Sales Executive,1,Married,4286,5630,2,Y,No,14,3,4,80,2,5,4,3,1,1,0,0,Senior,Medium Income,Beginner,2,0,15.333177788147456
